id,单价,总价,区,小区,户型,面积,朝向,装修,是否有电梯,关注人数,带看人数,发布时间,地区,楼,建楼年份,楼层
1,52743,250,盐田,海滨假日  , 3室1厅 ,47.4, 东北 , 精装 ,1,191,92, 一年前发布,  盐田港,19,2008,中
2,65507,286,盐田,上东湾  , 2室1厅 ,43.66, 西南 , 简装 ,1,18,86, 一年前发布,  沙头角,32,2012,高
3,54952,490,盐田,倚山花园三期  , 3室2厅 ,89.17, 东南 , 精装 ,1,26,80, 7个月以前发布,  沙头角,43,2015,中
4,46310,325,盐田,碧桐海苑  , 2室1厅 ,70.18, 东南 , 精装 ,1,39,76, 一年前发布,  沙头角,32,2005,低
5,60697,265,盐田,上东湾  , 2室1厅 ,43.66, 西北 , 其他,0,26,72, 6个月以前发布,  沙头角,32,2012,中
6,37658,310,盐田,海都花园  , 2室1厅 ,82.32, 南 , 精装 ,1,30,65, 11个月以前发布,  沙头角,27,1997,中
7,35715,150,盐田,花样年花港家园  , 1室1厅 ,42, 东北 , 其他 ,1,146,64, 5个月以前发布,  盐田港,33,2008,中
8,56785,426,盐田,海山道1号  , 2室2厅 ,75.02, 南 , 精装,0,13,59, 9个月以前发布,  沙头角,32,2011,高
9,46844,460,盐田,碧海蓝天名苑  , 3室1厅 ,98.2, 东南 , 其他 ,1,6,57, 7个月以前发布,  沙头角,32,2002,低
10,33773,200,盐田,花样年花港家园  , 2室1厅 ,59.22, 东北 , 其他,0,379,56, 8个月以前发布,  盐田港,33,2008,中
11,35116,180,盐田,海语东园  , 1室2厅 ,51.26, 北 , 简装 ,1,173,53, 一年前发布,  梅沙,7,2004,中
12,35858,385,盐田,翠景花园  , 4室1厅 ,107.37, 东南 , 简装 ,0,12,51, 6个月以前发布,  沙头角,8,1998,低
13,52786,470,盐田,倚山花园三期  , 3室2厅 ,89.04, 西南 , 毛坯 ,1,7,51, 一年前发布,  沙头角,43,2015,中
14,54113,575,盐田,桐林半山花园  , 3室2厅 ,106.26, 东 , 精装 ,1,12,50, 一年前发布,  沙头角,10,2007,中
15,50821,650,盐田,海山道1号  , 3室2厅 ,127.9, 南 , 其他,0,30,49, 5个月以前发布,  沙头角,33,2011,高
16,43393,285,盐田,碧桐海苑  , 2室1厅 ,65.68, 东北 , 其他 ,1,5,48, 一年前发布,  沙头角,32,2005,高
17,43791,390,盐田,倚山花园三期  , 3室1厅 ,89.06, 西北 , 毛坯 ,1,29,44, 一年前发布,  沙头角,42,2015,低
18,61801,265,盐田,上东湾  , 2室2厅 ,42.88, 南 , 其他,0,13,44, 5个月以前发布,  沙头角,32,2012,中
19,70215,628,盐田,倚山花园三期  , 3室2厅 ,89.44, 东南 , 其他 ,1,5,40, 11个月以前发布,  沙头角,42,2015,中
20,50000,380,盐田,倚山花园二期  , 2室1厅 ,76, 东北 , 简装 ,1,10,40, 一年前发布,  沙头角,11,2004,中
21,55284,520,盐田,东埔海景花园二期  , 3室1厅 ,94.06, 北 , 其他 ,1,23,39, 一年前发布,  沙头角,16,2003,中
22,46429,260,盐田,东部阳光  , 2室1厅 ,56, 东南 , 精装 ,1,37,38, 11个月以前发布,  沙头角,11,2000,低
23,43386,285,盐田,碧桐海苑  , 2室1厅 ,65.69, 北 , 其他 ,1,13,37, 3个月以前发布,  沙头角,32,2005,低
